eid	doctype	pubyear	source_id	volume	issue	page-start	page-end
43049140475	ar	2008	14698.0	12	1	86	97
43049141536	re	2008	29451.0	13	2	119	123
43049142670	ar	2008	26439.0	89	2	315	336
43049171633	ar	2008	20369.0	23	5	315	323
43149086102	ar	2008	145596.0	8	2	195	203
43149122007	ar	2008	29471.0	78	1	47	53
43249083626	ar	2008	4.00015181E9	4	4		
43249085257	ar	2008	94148.0	16	3	191	201
43249086048	ar	2008	14150.0	28	10	3198	3207
43249097751	ar	2008	15451.0	86	2	152	163
43349087223	ar	2008	19624.0	153	4	683	691
43449091627	ar	2008	25627.0	38	1	1	25
43449112684	re	2008	24204.0	90	2	347	368
43549120975	ar	2008	70451.0	60	1	33	37
43649101727	cp	2008	40067.0	6822			
43749110915	cp	2008	25674.0	4976 LNCS		342	347
43749115582	ar	2008	23375.0	37	3	898	905
43949105153	cp	2008	4.700152645E9	17	1	71	85
43949125483	ar	2008	29576.0	53	2	851	862
43949126192	cp	2008	1.1700154302E10			197	201
44049083884	ar	2008	21865.0	22	3	315	321
44149098647	ar	2008	25494.0	74	4	1017	1034
44249102579	ar	2008	82170.0	88	1	125	136
44349104693	ar	2008	29013.0	37	4	1371	1380
44349108265	re	2008	25882.0	45	3	621	643
44349114482	cp	2008	76181.0	10 PART B		975	976
44349118542	ar	2008	5.800179613E9	3	3	146	158
44349129875	cp	2008	1.1700154351E10			404	409
44449099314	ar	2008	12347.0	516	18	6063	6070
44449128839	ar	2008	21121.0	105	14	5321	5325
44549087814	ar	2008	29424.0	128	2	331	338
44649084918	ar	2008	26132.0	23	3	327	342
44649097525	ar	2008	16845.0	372	2	288	292
44649103872	ar	2008	23916.0	154	2	338	347
44649119281	ar	2008	1.1700154395E10	6	1	13	25
44649127482	ar	2008	24585.0	111	3	179	187
44649149551	ar	2008	18778.0	23	1	98	114
44849100969	cp	2008	16685.0	69	4	514	519
44949087522	re	2008	22416.0	8	3	155	160
44949152369	ar	2008	12740.0	26	2	193	207
45049084273	ar	2008	26844.0	79	1	179	185
45149091487	ar	2008	12740.0	26	2	208	226
45149124865	ar	2008	14165.0	34	4	66	88
45349089308	ar	2008	24276.0	118	1	99	124
45349093452	ar	2008	22543.0	28	2	328	333
45349093664	ar	2008	24276.0	118	1	51	62
45349104815	ar	2008	5.800179612E9	3	2	178	192
45449083870	ar	2008	8.0014711E8	20	2	161	177
45449095668	ar	2008	5.200153049E9	2	2	115	120
45449108398	ar	2008	22083.0	43	1	45	53
45549087646	ar	2008	24823.0	41	10	2980	2992
45549097081	ar	2008	16764.0	28	20	5149	5158
45649084108	ar	2008	12807.0	45	4	302	306
45649085106	ar	2008	12807.0	45	4	293	295
45749102886	ip	2008	17569.0			1	12
45749131070	ar	2008	14839.0	29	5	380	386
45849092252	ar	2008	26527.0	199	2	119	130
45849101231	ar	2008	17495.0	42	1	332	342
45849128668	ar	2008	17373.0	150	4	385	394
45849129387	ar	2008	3.500148021E9	150	4	395	403
45849140508	ar	2008	24554.0	192	1-4	11	24
45849142615	ar	2008	25794.0	34	2	129	155
45949084695	re	2008	24834.0	42	2	255	268
45949086382	ar	2008	14293.0	29	4	334	366
46049105745	re	2008	13560.0	20	2	180	208
46249092221	cp	2008	4.700152645E9	17	3	521	537
46249093626	re	2008	17484.0	33	8	1459	1465
46249109800	ar	2008	28511.0	14	4	269	301
46249116414	ar	2008	21243.0	74	5	16	17
46249133071	ar	2008	1.9700186818E10	3	1	13	40
46349089540	ar	2008	20949.0	75	3	345021	345024
46549083557	ar	2008	21333.0	588	2-3	198	206
46649083791	ar	2008	4.700152855E9	18	3	374	383
46649089701	ar	2008	16789.0	380	1	137	139
46649091716	ar	2008	12952.0	38	4	917	932
46649121839	ar	2008	29464.0	372	30	5017	5025
46749112670	ar	2008	1.1700154366E10	14	3	233	247
46749118065	ar	2008	25799.0	90	3	330	338
46749142894	ar	2008	4.00015211E9	24	1	72	81
46849085979	ar	2008	19165.0	114	2	793	804
46849091417	ar	2008	22182.0	2008	13	1	9
46849095327	ar	2008	23915.0	80	13	5044	5050
47049128538	ar	2008	20949.0	75	4	410181	410188
47249102914	ar	2008	28567.0	20	27		
47249129922	ar	2008	40352.0	41	2	79	91
47249131772	ar	2008	13500.0	44	4	1028	1039
47249132195	ar	2008	19747.0	198	1-2	51	64
47249150977	ar	2008	22726.0	18	12	995	1007
47549083322	ar	2008	23633.0	48	3	505	519
47549083683	ar	2008	24918.0	44	15	899	901
47549090445	ar	2008	21462.0	8	1	27	51
47649096893	re	2008	9.500153903E9	83	3	249	257
47649099408	ip	2008	19747.0			1	10
47649123826	ar	2008	22726.0	18	13	1099	1110
47749127703	ar	2008	16906.0	13	3	118	127
47749139621	ar	2008	21162.0	43	15	5230	5242
47849112805	ar	2008	6.600153102E9	11	1	193	220
47949115752	ar	2008	20886.0	378	1	151	161
47949116501	ar	2008	14248.0	52	1	157	165
47949127882	ar	2008	17495.0	42	2	663	674
47949128648	ar	2008	15298.0	15	3	491	512
48049086946	re	2008	4.700152436E9	8	4	293	305
48049087914	ar	2008	28895.0	27	4	185	193
48049097786	ar	2008	12403.0	25	2	148	153
48049106222	ar	2008	17123.0	233	2	299	307
48049112561	ar	2008	4.700152436E9	8	4	306	317
48149111511	ar	2008	29417.0	39	1	24	29
48249088931	ar	2008	13945.0	49	7	3207	3215
48249112557	ar	2008	21926.0	39	3	469	506
48249125479	ar	2008	23621.0	45	6	726	747
48249135773	ar	2008	19269.0	47	2	61	70
